World Name,Theorem Name,Natural Language,Predicted Formalization,True Tactic,True Goal State,Predicted Goal State,Is Correct
multiplication_world_val,zero_mul,-- Proof by induction on m with base case 0 * 0 = 0 and inductive step 0 * d + 1 = 0,induction m with d hd,induction m with d hd,"case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes
multiplication_world_val,zero_mul,-- First prove base case. Simplify LHS 0 * 0 to 0,rw [mul_zero],rw [mul_zero],"case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes
multiplication_world_val,zero_mul,-- The base case is not complete.,rfl,rfl,"case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes
multiplication_world_val,zero_mul,"-- Now for the inductive step. Rewrite LHS 0 * succ (d) to 0 * d + 0, using the definition of multiplication",rw [mul_succ],rw [mul_succ],"case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * d + 0 = 0
","case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * d + 0 = 0
",Yes
multiplication_world_val,zero_mul,-- Simplify the LHS 0 * d + 0 to 0 + 0 using the definition of addition,rw [add_zero],rw [add_zero],"case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * d = 0
","case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * d = 0
",Yes
multiplication_world_val,zero_mul,-- This is exactly the inductive hypothesis so we can complete the proof.,rfl,exact hd,,error,No
multiplication_world_val,zero_mul,-- Proof by induction on m with base case 0 * 0 = 0 and inductive step 0 * d + 1 = 0,"induction m with d hd, rw [mul_zero], rfl, rw [mul_succ], rw [hd], rw [add_zero], rfl",induction m with d hd,"case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes
multiplication_world_val,zero_mul,-- 0 * 0 = 0 -> 0 = 0,rfl,rw [mul_zero],"case zero
⊢ 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",No
multiplication_world_val,zero_mul,-- That proves the base case.,rfl,rfl,"case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
","case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",Yes
multiplication_world_val,zero_mul,-- 0 * succ d = 0 -> 0 * d + 0 = 0 -> 0 * d = 0,"rw [mul_succ, hd, add_zero]","rw [mul_succ, add_zero]","case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * d = 0
","case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",No
multiplication_world_val,zero_mul,-- This is exactly the inductive hypothesis so we can complete the proof.,rfl,exact hd,,"case zero
⊢ 0 * 0 = 0
case succ
d : ℕ
hd : 0 * d = 0
⊢ 0 * succ d = 0
",No
